Entity,Year,Coal - Prices
Asian marker price (BP),2001,36.8946
Asian marker price (BP),2002,30.4067
Asian marker price (BP),2003,36.5292
Asian marker price (BP),2004,72.4167
Asian marker price (BP),2005,61.8400
Asian marker price (BP),2006,56.4736
Asian marker price (BP),2007,84.5650
Asian marker price (BP),2008,148.0583
Asian marker price (BP),2009,78.8067
Asian marker price (BP),2010,105.4308
Asian marker price (BP),2011,125.7367
Asian marker price (BP),2012,105.5042
Asian marker price (BP),2013,90.8967
Asian marker price (BP),2014,77.8875
Asian marker price (BP),2015,63.5167
Asian marker price (BP),2016,71.1226
Asian marker price (BP),2017,99.5756
Asian marker price (BP),2018,111.6931
Asian marker price (BP),2019,88.9825
Asian marker price (BP),2020,71.3317
Asian marker price (BP),2021,145.1625
China Qinhuangdao spot price (BP),2001,31.7840
China Qinhuangdao spot price (BP),2002,33.1949
China Qinhuangdao spot price (BP),2003,31.7444
China Qinhuangdao spot price (BP),2004,42.7605
China Qinhuangdao spot price (BP),2005,51.3415
China Qinhuangdao spot price (BP),2006,53.5262
China Qinhuangdao spot price (BP),2007,61.2278
China Qinhuangdao spot price (BP),2008,104.9722
China Qinhuangdao spot price (BP),2009,87.8617
China Qinhuangdao spot price (BP),2010,110.0792
China Qinhuangdao spot price (BP),2011,127.2684
China Qinhuangdao spot price (BP),2012,111.8897
China Qinhuangdao spot price (BP),2013,95.4186
China Qinhuangdao spot price (BP),2014,84.1164
China Qinhuangdao spot price (BP),2015,67.5319
China Qinhuangdao spot price (BP),2016,71.3489
China Qinhuangdao spot price (BP),2017,94.7235
China Qinhuangdao spot price (BP),2018,99.4468
China Qinhuangdao spot price (BP),2019,85.8911
China Qinhuangdao spot price (BP),2020,83.0952
China Qinhuangdao spot price (BP),2021,153.5463
Japan coking coal import CIF price (BP),2001,41.3292
Japan coking coal import CIF price (BP),2002,42.0133
Japan coking coal import CIF price (BP),2003,41.5700
Japan coking coal import CIF price (BP),2004,60.9600
Japan coking coal import CIF price (BP),2005,89.3300
Japan coking coal import CIF price (BP),2006,93.4625
Japan coking coal import CIF price (BP),2007,88.2425
Japan coking coal import CIF price (BP),2008,179.0267
Japan coking coal import CIF price (BP),2009,167.8225
Japan coking coal import CIF price (BP),2010,158.9458
Japan coking coal import CIF price (BP),2011,229.1233
Japan coking coal import CIF price (BP),2012,191.4642
Japan coking coal import CIF price (BP),2013,140.4467
Japan coking coal import CIF price (BP),2014,114.4133
