ID,price,countofbedrooms,countofbathrooms,size,minimumtosubway,buildingage,haswasher,haselevator,hasdishwasher,hasgym
36,2495,2.0,1,800,4,96,0,0,0,0
37,3625,1.0,1,650,43,14,0,0,0,0
38,9000,2.0,2,1250,13,9,0,0,0,0
39,5800,2.0,2,1200,2,75,0,1,1,0
40,3295,1.0,1,465,5,29,0,1,0,0
41,2200,0.0,1,325,6,87,0,1,1,0
42,5485,2.0,1,1028,7,39,1,0,1,0
43,2950,0.0,1,765,2,29,0,1,0,1
44,2750,1.0,1,600,9,57,0,0,0,0
45,8200,2.0,2,1431,9,7,0,0,0,0
46,2000,2.0,1,750,3,106,0,0,0,0
47,4995,3.0,1,1100,2,13,0,1,0,1
48,1875,2.0,1,900,3,91,0,0,0,0
49,3900,1.0,1,750,6,106,0,0,0,0
50,2400,0.0,1,500,9,106,0,0,0,0
51,5325,1.0,1,697,2,13,0,0,0,0
52,3500,0.0,1,525,5,105,1,1,0,1
53,3900,1.0,1,643,4,2,0,0,0,0
54,3375,2.0,1,800,6,106,1,0,1,0
55,6400,2.0,2,1094,3,9,0,0,0,0
56,12500,2.0,2,2082,2,101,0,0,1,0
57,2595,0.0,1,285,5,86,0,0,0,0
58,2199,2.0,1,900,11,106,0,0,0,0
59,2430,0.0,1,330,2,89,0,0,0,0
60,10000,2.0,2,1318,3,30,0,0,0,0
61,6400,3.0,2,1100,4,13,0,1,1,0
62,5895,2.0,2,1250,1,112,0,0,0,0
63,2600,0.0,1,490,3,15,0,0,0,0
64,4700,1.0,1,500,2,116,0,0,0,0
65,6000,2.0,2,1428,3,88,0,1,1,1
66,4995,2.0,1,866,2,25,0,0,1,0
67,3388,0.0,1,825,4,47,0,0,0,0
68,3483,1.0,1,735,9,87,0,0,0,0
69,2900,2.0,1,1250,2,96,0,0,0,0
70,4600,1.0,1,890,2,10,1,1,1,0
71,1695,1.0,1,750,1,87,0,0,0,0
72,2700,0.0,1,542,6,28,0,1,1,0
73,11750,4.0,3,3100,2,111,0,0,0,0
74,5080,1.0,1,850,2,42,1,0,1,0
75,4890,1.0,1,815,43,8,0,1,0,0
76,3800,1.0,1,750,13,9,0,1,0,1
77,5200,3.0,2,2000,5,106,0,0,1,0
78,2800,0.0,1,450,4,43,0,0,0,0
79,6000,2.0,2,1200,9,105,1,0,0,0
